Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
57;19;95;41.99147068359229;0:00:16.735881;18;82;33.82925723302809;0:00:08.156553;10;138;48.335152312460465;0:00:00.144093;24;115;34.79019740765008;0:00:00.118244;28;3833;47.991009585845234;0:00:02.220362;201;2870;34.64576470241482;0:00:01.389096;333;6856;45.00165110969535;0:00:04.135789;156;5020;39.075929507308416;0:00:01.987974;19;95;41.99147068359229;0:00:15.916668;18;82;33.82925723302809;0:00:08.597230;
58;23;91;48.619604663946355;0:00:09.781651;21;82;37.80153858721915;0:00:07.766089;8;133;95.98861221149758;0:00:00.063819;8;137;119.52226534537212;0:00:00.057508;14;3158;61.52582242831488;0:00:00.988786;12;2645;84.025425043027;0:00:00.794855;51;6470;57.9875474404649;0:00:03.611071;77;4994;44.782810940141594;0:00:02.063149;23;91;48.619604663946355;0:00:09.426484;21;82;37.80153858721915;0:00:06.922472;
59;10;71;46.89594251621041;0:00:11.313394;17;58;35.40025629274142;0:00:07.487398;7;138;146.3295597884858;0:00:00.066115;9;131;159.5003260774749;0:00:00.052631;7;3014;71.88083772141768;0:00:00.904176;9;2630;76.56041294839115;0:00:00.775375;27;7517;60.788841642655086;0:00:05.580476;16;5251;70.09716624135825;0:00:02.514997;10;71;46.89594251621041;0:00:12.401118;17;58;35.40025629274142;0:00:07.702363;
60;35;89;51.33482548970468;0:00:12.300543;37;68;41.24721518759493;0:00:07.633692;8;128;131.47156687495934;0:00:00.069244;7;125;156.64421070558734;0:00:00.068031;9;3324;72.77913893392743;0:00:01.030176;10;2804;66.84207811736297;0:00:00.801041;47;6547;66.79170364749848;0:00:04.037341;464;4342;41.61619435048275;0:00:01.849479;35;89;51.33482548970468;0:00:12.406915;37;68;41.24721518759493;0:00:07.194187;
61;29;60;44.386224576687745;0:00:10.434497;34;55;35.567626114444195;0:00:05.123132;8;133;86.76356821526929;0:00:00.061369;8;137;106.18953408998077;0:00:00.049600;11;2728;88.13853169597671;0:00:00.714232;12;2321;62.92306510057171;0:00:00.605159;314;6063;45.77143492088987;0:00:03.236651;253;4316;36.40079837058186;0:00:01.451136;29;60;44.386224576687745;0:00:10.562194;34;55;35.567626114444195;0:00:05.853881;
62;29;60;51.762785213944206;0:00:14.743152;28;38;42.757621282128326;0:00:09.806464;7;114;85.42307894674899;0:00:00.071267;8;120;81.2649223714071;0:00:00.064005;43;3499;66.11711581358061;0:00:01.131335;13;3123;69.3618303815591;0:00:01.003014;335;6834;56.511730481390046;0:00:04.250881;70;5447;67.83973257493204;0:00:02.973220;29;60;51.762785213944206;0:00:14.668887;28;38;42.757621282128326;0:00:09.445648;
63;34;100;45.658123344516426;0:00:09.032695;30;72;36.828380094181696;0:00:05.468313;7;155;111.38209218507909;0:00:00.064831;9;152;157.29022002960312;0:00:00.055286;9;2507;86.14863940538976;0:00:00.782122;11;2057;62.17270890766123;0:00:00.574896;360;5804;46.085357529066584;0:00:03.370774;96;3864;42.83873980402121;0:00:01.477494;34;100;45.658123344516426;0:00:09.498672;30;72;36.828380094181696;0:00:05.445171;
64;34;101;45.149035406059916;0:00:09.908100;26;76;36.79146064708725;0:00:05.721120;9;148;122.93517704414576;0:00:00.063811;11;132;85.7926528029509;0:00:00.052354;16;2573;82.07793251650118;0:00:00.795809;8;2094;68.48845921123866;0:00:00.603145;253;5776;50.454624000132924;0:00:03.424524;284;3695;35.00177369530933;0:00:01.378555;34;101;45.149035406059916;0:00:09.704810;26;76;36.79146064708725;0:00:05.640035;
65;41;74;46.93881374260787;0:00:08.964746;48;65;35.46524817195844;0:00:05.367169;8;132;136.7931034960213;0:00:00.058964;7;119;116.0795185961084;0:00:00.048914;33;2205;59.013171176135835;0:00:00.638204;17;1863;60.636644462013706;0:00:00.548733;238;5700;44.7171585982684;0:00:03.155454;214;4041;35.94780129627912;0:00:01.699365;41;74;46.93881374260787;0:00:09.567747;48;65;35.46524817195844;0:00:05.406350;
66;50;86;41.76581475753267;0:00:08.647280;35;103;33.56029248664883;0:00:06.102398;9;146;137.49989269212608;0:00:00.072145;8;137;159.6030847898358;0:00:00.052878;51;2615;47.44601098555705;0:00:00.788563;10;2102;56.02188111395265;0:00:00.636814;471;5851;43.03066235958246;0:00:03.873483;259;4661;39.066417343167814;0:00:02.248282;50;86;41.76581475753267;0:00:08.758697;35;103;33.56029248664883;0:00:06.174881;
