Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
21;42;49;26.49489214520209;0:00:10.042434;36;45;20.29845088968612;0:00:08.597700;9;109;49.50480254658893;0:00:00.051192;12;137;39.10863295307115;0:00:00.048066;278;1168;26.29185803237513;0:00:00.365811;155;1086;19.70728142770703;0:00:00.338889;275;368;26.438279280164934;0:00:06.796143;7;119;123.8989235981784;0:00:05.234276;42;49;26.49489214520209;0:00:10.572304;36;45;20.29845088968612;0:00:08.670104;
22;245;135;31.405296993579526;0:00:11.210868;182;88;22.75713874285018;0:00:08.741139;37;116;31.61266495989455;0:00:00.069870;29;111;25.69987303055436;0:00:00.058708;1224;2439;31.534425058257792;0:00:00.835912;929;2325;22.509505400701446;0:00:00.751583;690;396;30.913284160942425;0:00:05.364102;6;57;66.61806566134189;0:00:03.746062;245;135;31.405296993579526;0:00:11.346399;182;88;22.75713874285018;0:00:08.742781;
23;153;227;42.57775736235861;0:00:10.364954;137;144;29.750114577116978;0:00:07.956150;12;140;58.55166077973363;0:00:00.060688;12;143;81.65361364457694;0:00:00.053460;488;2377;36.39824859703609;0:00:00.636393;330;2146;27.61318834539566;0:00:00.575747;323;557;40.57643782166401;0:00:04.435752;5;46;67.07589574382357;0:00:02.924759;153;227;42.57775736235861;0:00:10.705439;137;144;29.750114577116978;0:00:08.120934;
24;454;304;43.12180274458926;0:00:11.677860;425;213;33.3975002111542;0:00:08.904607;39;112;45.49530614590271;0:00:00.062807;43;118;34.379253026428195;0:00:00.058410;1740;2231;43.068821039543295;0:00:00.780341;1365;2134;33.835585644837245;0:00:00.711880;1358;547;43.200338262110904;0:00:04.396294;6;48;88.47295495423145;0:00:02.879740;454;304;43.12180274458926;0:00:12.046272;425;213;33.3975002111542;0:00:09.060630;
25;74;54;38.493597527626584;0:00:12.228768;48;41;30.122713823054163;0:00:10.410191;24;136;40.16956444080136;0:00:00.065732;17;133;35.9128819294925;0:00:00.061662;323;2907;39.70562819414002;0:00:01.127320;357;2721;30.24868911316619;0:00:00.809592;188;398;39.37377894024128;0:00:06.176691;7;58;70.28920995097069;0:00:04.502555;74;54;38.493597527626584;0:00:12.911481;48;41;30.122713823054163;0:00:10.171099;
26;113;67;39.020189111089266;0:02:45.994515;81;34;28.86233922857408;0:00:12.165673;12;129;79.46644102013096;0:00:00.067581;8;123;142.8512539790452;0:00:00.061072;291;3257;40.51814195377869;0:00:00.833457;342;2836;28.83739187866318;0:00:00.733610;216;363;39.10117332506255;0:00:04.463961;5;57;90.90475353112136;0:00:03.217575;113;67;39.020189111089266;0:00:12.389772;81;34;28.86233922857408;0:00:09.994160;
27;41;58;35.57159581346984;0:00:09.235163;34;40;27.99686176391991;0:00:07.386647;8;137;148.2539845836662;0:00:00.061396;9;136;51.989519828418175;0:00:00.055444;266;2429;36.101581094983395;0:00:00.604653;163;2452;34.24441133669611;0:00:00.600972;106;632;35.5556817096152;0:00:05.388907;8;142;160.51027801739357;0:00:03.665376;41;58;35.57159581346984;0:00:09.456127;34;40;27.99686176391991;0:00:07.557151;
28;69;60;36.68336838723881;0:00:12.670665;55;37;27.409753385736497;0:00:10.304644;26;126;38.45195168791824;0:00:00.072347;15;135;59.11148318866386;0:00:00.067913;514;3068;36.5521024727888;0:00:00.939086;73;3151;48.73987602132865;0:00:00.796241;152;188;36.45227915001087;0:00:05.730924;6;83;86.76721322143776;0:00:04.414639;69;60;36.68336838723881;0:00:12.555882;55;37;27.409753385736497;0:00:11.509029;
29;86;83;40.899954446076755;0:00:10.053493;73;68;31.996384070803813;0:00:07.948897;9;129;94.73676132374993;0:00:00.064811;11;127;152.6989820290465;0:00:00.058550;343;2796;42.04279922627561;0:00:00.841396;242;2625;32.847012894944896;0:00:00.789254;157;234;41.37252239965329;0:00:03.910244;5;23;82.84351050440239;0:00:02.774032;86;83;40.899954446076755;0:00:10.417659;73;68;31.996384070803813;0:00:08.146593;
30;118;50;38.27108807414905;0:00:12.551800;82;50;28.94611829343096;0:00:10.516253;18;126;43.94487282978479;0:00:00.067376;12;139;49.77066715035979;0:00:00.062434;659;3269;38.357346989356444;0:00:01.086640;479;3066;29.028169355363524;0:00:00.952318;250;229;38.68752085580453;0:00:04.882983;7;24;115.10316371304629;0:00:03.659327;118;50;38.27108807414905;0:00:12.859972;82;50;28.94611829343096;0:00:10.496398;
